vendor_id,latitude,longitude,inventory,sustainability_score
1,12.874540118847362,77.18513292883861,"{'apple': 16, 'banana': 44, 'orange': 64, 'grape': 23, 'mango': 19}",0.6327787990062068
2,13.450714306409916,77.54190094737835,"{'apple': 89, 'banana': 25, 'orange': 63, 'grape': 98, 'mango': 86}",0.9033867848243837
3,13.231993941811405,77.87294583587641,"{'apple': 79, 'banana': 53, 'orange': 82, 'grape': 54, 'mango': 65}",0.6259033830254408
4,13.098658484197037,77.73222488640955,"{'apple': 93, 'banana': 91, 'orange': 66, 'grape': 30, 'mango': 77}",0.9118731939754002
5,12.656018640442436,77.80656114786144,"{'apple': 59, 'banana': 42, 'orange': 16, 'grape': 79, 'mango': 24}",0.5426341708058386
6,12.655994520336202,77.65878336671072,"{'apple': 91, 'banana': 41, 'orange': 84, 'grape': 29, 'mango': 97}",0.9330918544345148
7,12.558083612168199,77.69227656451785,"{'apple': 24, 'banana': 57, 'orange': 80, 'grape': 30, 'mango': 51}",0.7495932254666653
8,13.366176145774935,77.84919565156532,"{'apple': 35, 'banana': 23, 'orange': 66, 'grape': 46, 'mango': 67}",0.648268794810131
9,13.10111501174321,77.24966800885919,"{'apple': 30, 'banana': 91, 'orange': 78, 'grape': 12, 'mango': 96}",0.6325566252075744
10,13.208072577796045,77.48942496364315,"{'apple': 99, 'banana': 46, 'orange': 97, 'grape': 58, 'mango': 28}",0.7160052794651813
11,12.520584494295802,77.2212094418196,"{'apple': 98, 'banana': 94, 'orange': 21, 'grape': 70, 'mango': 50}",0.9995247490518224
12,13.469909852161994,77.98766800799665,"{'apple': 42, 'banana': 59, 'orange': 77, 'grape': 80, 'mango': 95}",0.6101636967187913
13,13.332442640800421,77.94405933968662,"{'apple': 42, 'banana': 90, 'orange': 33, 'grape': 70, 'mango': 70}",0.5516083244394998
14,12.712339110678275,77.0394268113685,"{'apple': 37, 'banana': 67, 'orange': 52, 'grape': 50, 'mango': 48}",0.792517584359331
15,12.6818249672071,77.7055751725157,"{'apple': 95, 'banana': 58, 'orange': 26, 'grape': 79, 'mango': 79}",0.7442712332201286
16,12.683404509853434,77.92524831741567,"{'apple': 74, 'banana': 83, 'orange': 94, 'grape': 14, 'mango': 11}",0.7620981355316536
17,12.804242242959537,77.18057534512734,"{'apple': 31, 'banana': 66, 'orange': 75, 'grape': 83, 'mango': 25}",0.8334677087786085
18,13.024756431632238,77.56794523055262,"{'apple': 60, 'banana': 48, 'orange': 95, 'grape': 85, 'mango': 97}",0.6335720349353247
19,12.931945018642116,77.91548829758804,"{'apple': 49, 'banana': 47, 'orange': 69, 'grape': 68, 'mango': 19}",0.9553324976919442
20,12.791229140198041,77.0339459785858,"{'apple': 73, 'banana': 72, 'orange': 58, 'grape': 73, 'mango': 41}",0.7178360330611452
21,13.111852894722379,77.69742026724684,"{'apple': 16, 'banana': 30, 'orange': 29, 'grape': 35, 'mango': 77}",0.5645430975712309
