customer_id,latitude,longitude,preferences
1,13.459783786437715,77.80402278951914,"{'apple': 3, 'banana': 3, 'orange': 3, 'grape': 2, 'mango': 4}"
2,13.176157333453446,77.712542009133,"{'apple': 3, 'banana': 2, 'orange': 2, 'grape': 1, 'mango': 3}"
3,13.407750800241239,77.36790292528627,"{'apple': 4, 'banana': 0, 'orange': 2, 'grape': 1, 'mango': 0}"
4,13.229770511573681,77.33667383425369,"{'apple': 2, 'banana': 1, 'orange': 3, 'grape': 1, 'mango': 2}"
5,13.235463528597684,77.25244246302796,"{'apple': 3, 'banana': 4, 'orange': 1, 'grape': 0, 'mango': 3}"
6,12.58001826975768,77.57651579048864,"{'apple': 3, 'banana': 4, 'orange': 1, 'grape': 0, 'mango': 4}"
7,12.859464621853943,77.96384285159385,"{'apple': 1, 'banana': 0, 'orange': 0, 'grape': 2, 'mango': 0}"
8,13.358369406719659,77.20006673761756,"{'apple': 1, 'banana': 4, 'orange': 4, 'grape': 2, 'mango': 1}"
9,12.732603862148755,77.09525245490433,"{'apple': 0, 'banana': 2, 'orange': 3, 'grape': 1, 'mango': 2}"
10,12.615505866156466,77.11940064207631,"{'apple': 4, 'banana': 2, 'orange': 3, 'grape': 1, 'mango': 2}"
11,12.826106056638793,77.78309867625015,"{'apple': 0, 'banana': 1, 'orange': 2, 'grape': 2, 'mango': 1}"
12,12.720437884892615,77.35010480428457,"{'apple': 4, 'banana': 0, 'orange': 1, 'grape': 0, 'mango': 0}"
13,13.425288194793156,77.22436682769238,"{'apple': 1, 'banana': 2, 'orange': 4, 'grape': 0, 'mango': 0}"
14,13.36796664200213,77.3528441183735,"{'apple': 2, 'banana': 1, 'orange': 4, 'grape': 0, 'mango': 0}"
15,12.999683230282905,77.64533081282953,"{'apple': 1, 'banana': 2, 'orange': 3, 'grape': 2, 'mango': 0}"
16,12.561343874483867,77.54678712482828,"{'apple': 0, 'banana': 4, 'orange': 2, 'grape': 3, 'mango': 4}"
17,13.214562346093157,77.74358940652122,"{'apple': 3, 'banana': 4, 'orange': 2, 'grape': 0, 'mango': 3}"
18,13.123411731336265,77.33907414848177,"{'apple': 2, 'banana': 3, 'orange': 2, 'grape': 4, 'mango': 2}"
19,13.470554670728497,77.45202857346469,"{'apple': 4, 'banana': 0, 'orange': 4, 'grape': 1, 'mango': 0}"
20,13.058953240270377,77.10196836896293,"{'apple': 2, 'banana': 2, 'orange': 1, 'grape': 2, 'mango': 0}"
21,12.83639372340291,77.07305864603278,"{'apple': 0, 'banana': 4, 'orange': 3, 'grape': 2, 'mango': 1}"
22,13.019021693578555,77.4622552428441,"{'apple': 0, 'banana': 0, 'orange': 0, 'grape': 3, 'mango': 3}"
23,13.479263291404516,77.30159660744593,"{'apple': 2, 'banana': 1, 'orange': 3, 'grape': 4, 'mango': 3}"
24,13.19636243253303,77.61280057213614,"{'apple': 0, 'banana': 1, 'orange': 2, 'grape': 3, 'mango': 0}"
25,13.171976137927052,77.04300216544458,"{'apple': 4, 'banana': 4, 'orange': 2, 'grape': 2, 'mango': 3}"
26,12.740681589725884,77.12176637759957,"{'apple': 2, 'banana': 0, 'orange': 0, 'grape': 0, 'mango': 3}"
27,13.243602517560618,77.8651908111064,"{'apple': 3, 'banana': 2, 'orange': 3, 'grape': 0, 'mango': 1}"
28,13.250271829471771,77.5663116215191,"{'apple': 0, 'banana': 1, 'orange': 2, 'grape': 4, 'mango': 3}"
29,12.817288983775905,77.71205453369123,"{'apple': 3, 'banana': 0, 'orange': 0, 'grape': 1, 'mango': 3}"
